  loading Town01 (large maps take a while)
  server age 0 min (R-SIM-1 ok)
  interior sweep: 13 sub-intervals x 5 illuminations = 65 points, 1 repetition(s) each
      -1.422 to  -29.561  mid -15.492  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
      -1.422 to  -29.561  mid -21.119  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
      -1.422 to  -29.561  mid -26.747  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
     -29.561 to  -30.000  mid -29.605  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
     -29.561 to  -30.000  mid -29.693  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
     -29.561 to  -30.000  mid -29.780  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
     -29.561 to  -30.000  mid -29.868  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree
     -29.561 to  -30.000  mid -29.956  predicted CERTIFIED  drove 1/1 [0.21, 1.00]  agree

  illumination axis OK: 13 midpoints, span 0.4669 of full range
  dense sweep recorded: 65 illuminations, monotone_ok=True, span 0.4747

  certificate agrees with driving in 51/65 sub-intervals
  wrote results/carla/Town01/witness_reps/witness_P_pts_lead_interior5_rep01.json
